DateTime,Open,High,Low,Close,Volume,TickVolume
2025-09-28,24531.4,24775.5,24528.6,24585.5,0,463112
2025-09-21,24637.4,24813.3,24215.8,24522.5,0,1017074
2025-09-14,24124.5,24668.9,24020.5,24642.1,0,1010762
2025-09-07,23658.2,24158.9,23623.9,24114.6,0,896946
2025-08-31,23445.0,23867.3,22988.6,23639.2,0,993372
2025-08-24,23532.4,23753.4,23316.3,23406.5,0,983415
2025-08-17,23726.2,23809.2,22970.7,23517.6,0,1013702
2025-08-10,23671.1,23984.1,23497.9,23716.4,0,967123
2025-08-03,22740.9,23672.8,22713.6,23670.9,0,1037646
2025-07-27,23394.7,23728.2,22673.9,22753.1,0,1016019
2025-07-20,23086.0,23344.5,22971.0,23316.0,0,820996
2025-07-13,22701.1,23168.4,22641.6,23077.7,0,896868
2025-07-06,22793.4,22935.4,22599.4,22767.6,0,957192
2025-06-29,22568.6,22906.4,22392.8,22716.6,0,801047
2025-06-22,21402.3,22626.4,21367.7,22544.1,0,1090744
2025-06-15,21536.1,22006.4,21442.6,21665.7,0,1244224
2025-06-08,21781.0,22076.8,21458.6,21646.3,0,1255422
2025-06-01,21262.7,21897.0,21126.4,21777.5,0,1194411
2025-05-25,20915.9,21813.0,20902.4,21324.3,0,1241877
2025-05-18,21236.5,21494.3,20667.5,20893.6,0,1280356
2025-05-11,20356.9,21455.1,20303.4,21326.7,0,1364988
2025-05-04,20106.0,20256.5,19596.9,20068.2,0,1348062
2025-04-27,19408.5,20182.2,19008.8,20107.5,0,1529803
2025-04-20,18204.0,19472.4,17591.5,19449.6,0,1681033
2025-04-13,18975.9,19129.1,17993.0,18303.6,0,1317745
2025-04-06,16441.0,19244.3,16319.5,18684.3,0,2039064
2025-03-30,19136.8,19807.5,17265.7,17338.7,0,1992782
2025-03-23,19866.5,20348.9,19179.8,19180.2,0,1309446
2025-03-16,19660.1,19957.0,19397.6,19769.7,0,1306882
2025-03-09,20092.4,20132.7,19125.5,19652.5,0,1640749
2025-03-02,20935.8,21084.2,19737.0,20177.4,0,1949517
2025-02-23,21606.3,21759.6,20417.4,20865.9,0,1668339
2025-02-16,22166.0,22253.4,21593.2,21600.2,0,1094060
2025-02-09,21353.7,22143.9,21335.0,22128.1,0,1221206
2025-02-02,20944.6,21877.2,20860.3,21485.1,0,1506860
2025-01-26,21642.8,21857.9,20650.2,21463.9,0,1648682
2025-01-19,21462.9,21965.5,21248.8,21785.4,0,1158255
2025-01-12,20856.7,21539.3,20545.2,21448.7,0,1478425
2025-01-05,21363.5,21724.0,20718.4,20839.5,0,1292563
