DateTime,Open,High,Low,Close,Volume,TickVolume
2025-10-01,24650.1,24684.3,24571.5,24585.5,0,30689
2025-09-30,24620.2,24719.5,24529.3,24644.2,0,225936
2025-09-29,24531.4,24775.5,24528.6,24615.2,0,206487
2025-09-26,24426.3,24542.6,24316.5,24522.5,0,232154
2025-09-25,24542.5,24585.0,24215.8,24428.5,0,228730
2025-09-24,24633.7,24702.3,24418.2,24537.5,0,184580
2025-09-23,24782.6,24813.3,24569.0,24621.7,0,179148
2025-09-22,24637.4,24811.3,24534.2,24780.3,0,192462
2025-09-19,24498.6,24668.9,24437.3,24642.1,0,222662
2025-09-18,24277.5,24595.4,24275.4,24493.5,0,239488
2025-09-17,24306.0,24328.2,24020.5,24278.6,0,195671
2025-09-16,24303.2,24419.3,24272.3,24303.6,0,166065
2025-09-15,24124.5,24325.8,24087.3,24308.0,0,186876
2025-09-12,24003.1,24158.9,23952.7,24114.6,0,171910
2025-09-11,23834.7,24024.7,23834.7,23985.9,0,180065
2025-09-10,23877.7,24002.4,23761.4,23834.1,0,186371
2025-09-09,23773.8,23888.5,23701.2,23863.2,0,172458
2025-09-08,23658.2,23858.8,23623.9,23769.6,0,186142
2025-09-05,23669.1,23867.3,23471.4,23639.2,0,232495
2025-09-04,23422.6,23663.8,23377.1,23649.4,0,197556
2025-09-03,23351.7,23491.1,23265.4,23421.4,0,221950
2025-09-02,23462.6,23462.6,22988.6,23342.5,0,255084
2025-09-01,23445.0,23512.2,23331.0,23463.0,0,86287
2025-08-29,23709.3,23712.8,23353.8,23406.5,0,211707
2025-08-28,23499.0,23753.4,23438.9,23713.0,0,199067
2025-08-27,23555.4,23605.8,23439.5,23490.2,0,174116
2025-08-26,23450.6,23556.5,23316.3,23553.5,0,210663
2025-08-25,23532.4,23558.6,23387.1,23444.9,0,187862
2025-08-22,23158.9,23584.6,23012.9,23517.6,0,210661
2025-08-21,23256.0,23302.5,23054.2,23155.6,0,222622
2025-08-20,23383.9,23419.5,22970.7,23253.8,0,225004
2025-08-19,23723.0,23767.1,23357.5,23405.2,0,188935
2025-08-18,23726.2,23809.2,23647.2,23716.1,0,166480
2025-08-15,23801.3,23881.6,23654.3,23716.4,0,196852
2025-08-14,23851.1,23923.4,23711.6,23809.9,0,205393
2025-08-13,23855.2,23984.1,23802.6,23843.5,0,182525
2025-08-12,23543.7,23865.3,23508.9,23862.3,0,192569
2025-08-11,23671.1,23715.3,23497.9,23539.8,0,189784
2025-08-08,23425.4,23672.8,23408.5,23670.9,0,166548
2025-08-07,23334.3,23573.9,23233.8,23424.8,0,234186
2025-08-06,22998.4,23344.5,22946.1,23312.5,0,210923
2025-08-05,23253.6,23300.0,22982.0,22988.6,0,211774
2025-08-04,22740.9,23247.0,22713.6,23245.6,0,214215
2025-08-01,23203.2,23231.9,22673.9,22753.1,0,299894
2025-07-31,23592.8,23728.2,23189.8,23212.3,0,233119
2025-07-30,23335.4,23569.9,23241.1,23544.1,0,183878
2025-07-29,23385.8,23531.7,23301.8,23331.8,0,151934
2025-07-28,23394.7,23461.7,23313.8,23385.8,0,147194
2025-07-25,23261.3,23344.5,23199.5,23316.0,0,135412
2025-07-24,23262.7,23288.0,23164.4,23260.8,0,174430
2025-07-23,23052.3,23279.3,23010.1,23274.3,0,186319
2025-07-22,23199.9,23227.5,22971.0,23059.0,0,181271
2025-07-21,23086.0,23281.8,23061.9,23204.4,0,143564
2025-07-18,23103.5,23168.4,23022.7,23077.7,0,157478
2025-07-17,22913.5,23123.1,22864.1,23112.1,0,165163
2025-07-16,22867.1,22943.8,22680.6,22907.2,0,202573
2025-07-15,22874.6,23063.8,22838.1,22860.4,0,208346
2025-07-14,22701.1,22904.8,22641.6,22874.8,0,163308
2025-07-11,22839.0,22878.6,22661.3,22767.6,0,217404
2025-07-10,22863.3,22916.2,22728.8,22837.6,0,158409
2025-07-09,22729.8,22935.4,22668.5,22867.5,0,168730
2025-07-08,22657.2,22793.0,22630.7,22725.0,0,195550
2025-07-07,22793.4,22843.2,22599.4,22656.7,0,217099
2025-07-04,22858.2,22870.6,22692.0,22716.6,0,91786
2025-07-03,22651.8,22906.4,22635.1,22864.8,0,123040
2025-07-02,22492.3,22664.8,22392.8,22661.3,0,185783
2025-07-01,22672.8,22721.7,22403.4,22499.2,0,197804
2025-06-30,22568.6,22736.5,22568.4,22670.0,0,202634
2025-06-27,22486.0,22626.4,22403.6,22544.1,0,215905
2025-06-26,22264.4,22498.3,22245.4,22478.1,0,185794
2025-06-25,22208.3,22352.3,22189.9,22276.8,0,191219
2025-06-24,21874.1,22249.4,21868.1,22209.4,0,234554
