DateTime,Open,High,Low,Close,Volume,TickVolume
2025-07-15 20:30:00,44145.5,44165.1,44145.5,44160.5,0,296
2025-07-15 20:25:00,44141.1,44152.1,44119.5,44147.5,0,339
2025-07-15 20:20:00,44112.1,44147.1,44106.5,44139.1,0,357
2025-07-15 20:15:00,44112.5,44119.1,44085.5,44113.1,0,427
2025-07-15 20:10:00,44095.1,44128.1,44094.5,44111.5,0,407
2025-07-15 20:05:00,44100.1,44113.1,44090.5,44094.1,0,346
2025-07-15 20:00:00,44095.1,44124.1,44089.5,44101.1,0,415
2025-07-15 19:55:00,44144.5,44159.5,44092.5,44096.1,0,480
2025-07-15 19:50:00,44152.5,44180.1,44143.5,44143.5,0,374
2025-07-15 19:45:00,44161.5,44180.1,44151.5,44153.5,0,324
2025-07-15 19:40:00,44146.1,44171.1,44131.5,44162.5,0,350
2025-07-15 19:35:00,44169.5,44175.1,44133.5,44147.1,0,366
2025-07-15 19:30:00,44167.1,44195.1,44163.5,44170.5,0,365
2025-07-15 19:25:00,44177.1,44186.5,44145.5,44166.1,0,338
2025-07-15 19:20:00,44176.1,44200.1,44166.5,44176.1,0,331
2025-07-15 19:15:00,44172.1,44199.1,44164.5,44175.1,0,350
2025-07-15 19:10:00,44172.1,44180.1,44153.1,44173.1,0,396
2025-07-15 19:05:00,44237.1,44238.1,44171.5,44173.1,0,370
2025-07-15 19:00:00,44214.5,44239.1,44211.5,44236.1,0,351
2025-07-15 18:55:00,44221.5,44225.5,44187.5,44213.5,0,417
2025-07-15 18:50:00,44258.5,44264.1,44220.5,44222.5,0,389
2025-07-15 18:45:00,44240.5,44266.1,44229.5,44257.5,0,340
2025-07-15 18:40:00,44214.5,44255.1,44207.5,44239.5,0,360
2025-07-15 18:35:00,44215.1,44230.1,44196.5,44213.5,0,404
2025-07-15 18:30:00,44238.1,44256.1,44195.1,44217.1,0,438
2025-07-15 18:25:00,44237.5,44259.1,44222.5,44236.1,0,361
2025-07-15 18:20:00,44193.1,44240.1,44189.5,44236.5,0,403
2025-07-15 18:15:00,44183.5,44204.1,44169.5,44194.1,0,409
2025-07-15 18:10:00,44232.1,44234.1,44182.5,44182.5,0,395
2025-07-15 18:05:00,44200.1,44245.1,44194.5,44229.1,0,450
2025-07-15 18:00:00,44154.5,44204.1,44149.1,44199.1,0,467
2025-07-15 17:55:00,44202.1,44202.1,44144.5,44152.5,0,488
2025-07-15 17:50:00,44254.1,44259.1,44180.5,44205.1,0,485
2025-07-15 17:45:00,44229.5,44268.1,44229.5,44251.1,0,420
2025-07-15 17:40:00,44231.5,44248.1,44216.5,44231.5,0,499
2025-07-15 17:35:00,44266.1,44267.1,44199.5,44233.5,0,486
2025-07-15 17:30:00,44253.5,44274.1,44220.5,44267.1,0,559
2025-07-15 17:25:00,44328.1,44329.1,44257.5,44262.1,0,544
2025-07-15 17:20:00,44344.5,44356.1,44322.5,44330.1,0,377
2025-07-15 17:15:00,44346.5,44363.1,44300.5,44346.5,0,493
2025-07-15 17:10:00,44309.5,44359.1,44303.5,44344.5,0,472
2025-07-15 17:05:00,44308.1,44333.1,44285.5,44305.5,0,521
2025-07-15 17:00:00,44330.5,44361.1,44288.5,44307.1,0,594
2025-07-15 16:55:00,44382.1,44400.1,44327.1,44328.5,0,549
2025-07-15 16:50:00,44340.1,44403.1,44340.1,44381.1,0,479
2025-07-15 16:45:00,44346.5,44370.1,44314.5,44341.1,0,542
2025-07-15 16:40:00,44353.5,44364.1,44310.1,44345.5,0,594
2025-07-15 16:35:00,44434.1,44446.1,44345.1,44355.5,0,687
2025-07-15 16:30:00,44477.9,44532.9,44417.1,44435.9,0,739
2025-07-15 16:25:00,44488.6,44504.1,44457.1,44474.9,0,310
2025-07-15 16:20:00,44462.1,44496.9,44462.1,44489.6,0,261
2025-07-15 16:15:00,44462.1,44466.9,44442.1,44461.1,0,189
2025-07-15 16:10:00,44460.9,44468.0,44454.1,44461.6,0,155
2025-07-15 16:05:00,44440.1,44468.1,44437.9,44461.4,0,207
2025-07-15 16:00:00,44431.6,44440.1,44416.6,44439.1,0,258
2025-07-15 15:55:00,44438.9,44459.6,44430.6,44430.6,0,256
2025-07-15 15:50:00,44444.1,44457.9,44430.1,44437.9,0,192
2025-07-15 15:45:00,44434.1,44454.9,44434.1,44445.1,0,209
2025-07-15 15:40:00,44446.9,44461.9,44427.9,44436.1,0,280
2025-07-15 15:35:00,44477.1,44481.9,44440.1,44445.9,0,327
2025-07-15 15:30:00,44414.0,44504.9,44414.0,44475.1,0,422
2025-07-15 15:25:00,44393.1,44416.0,44389.1,44413.0,0,202
2025-07-15 15:20:00,44405.4,44406.9,44383.1,44392.1,0,162
2025-07-15 15:15:00,44414.9,44415.0,44404.1,44405.9,0,143
2025-07-15 15:10:00,44416.9,44426.9,44406.1,44415.9,0,150
2025-07-15 15:05:00,44427.9,44428.9,44406.4,44417.9,0,165
2025-07-15 15:00:00,44450.9,44450.9,44426.1,44429.9,0,159
2025-07-15 14:55:00,44438.4,44459.1,44438.4,44451.9,0,105
2025-07-15 14:50:00,44435.0,44440.9,44427.1,44437.4,0,128
2025-07-15 14:45:00,44456.9,44461.9,44429.1,44437.5,0,178
