DateTime,Open,High,Low,Close,Volume,TickVolume
2025-07-15,44439.9,44617.1,44085.5,44160.5,0,41936
2025-07-14,44203.0,44491.9,44107.8,44461.9,0,44132
2025-07-11,44656.9,44708.7,44278.5,44341.5,0,53844
2025-07-10,44477.9,44805.1,44328.6,44634.4,0,38839
2025-07-09,44286.9,44593.1,44183.1,44489.4,0,42974
2025-07-08,44343.9,44472.9,44226.5,44266.9,0,47946
2025-07-07,44773.0,44882.4,44178.5,44320.9,0,52881
2025-07-04,44791.9,44807.4,44520.6,44584.1,0,20217
2025-07-03,44519.9,44904.1,44478.1,44832.5,0,29016
2025-07-02,44550.9,44699.0,44383.5,44531.9,0,44450
2025-07-01,44060.9,44655.1,44020.1,44555.9,0,48797
2025-06-30,43971.0,44172.1,43918.5,44077.9,0,42444
2025-06-27,43470.0,44005.8,43459.0,43970.5,0,45288
2025-06-26,43002.0,43470.0,42988.5,43436.0,0,37709
2025-06-25,43103.0,43177.9,42886.6,43003.5,0,39025
2025-06-24,42614.0,43225.2,42609.0,43113.0,0,51017
2025-06-23,41950.0,42645.0,41947.0,42631.0,0,61527
2025-06-20,41993.1,42456.2,41969.6,42266.6,0,59116
2025-06-19,42195.5,42219.0,41781.3,41811.5,0,28518
2025-06-18,42232.0,42548.2,42114.3,42214.0,0,56702
2025-06-17,42586.0,42598.0,42162.6,42261.0,0,62958
2025-06-16,42046.0,42747.2,42012.0,42556.5,0,50678
2025-06-13,42936.0,42945.0,42084.7,42209.6,0,85751
2025-06-12,42851.0,43001.0,42588.2,42954.0,0,54038
2025-06-11,42881.0,43151.2,42745.2,42886.5,0,58969
2025-06-10,42790.0,42959.2,42662.2,42876.0,0,49865
2025-06-09,42858.0,42928.2,42587.6,42802.0,0,43432
2025-06-06,42339.0,42956.2,42332.0,42809.2,0,54758
2025-06-05,42441.0,42708.0,42238.2,42366.0,0,59583
2025-06-04,42580.0,42687.0,42442.5,42447.5,0,46882
2025-06-03,42337.0,42611.2,42086.1,42562.5,0,46969
2025-06-02,42163.0,42384.5,41869.7,42340.0,0,59344
2025-05-30,42184.0,42403.2,41921.7,42226.6,0,67910
2025-05-29,42128.1,42750.3,41850.7,42215.5,0,75866
2025-05-28,42428.0,42484.2,42071.7,42150.0,0,49565
2025-05-27,42083.6,42439.5,41905.7,42434.5,0,50002
2025-05-26,41624.0,42135.1,41619.5,42093.7,0,25260
2025-05-23,41956.1,41973.1,41182.1,41571.7,0,73758
2025-05-22,41852.1,42123.9,41640.3,41949.6,0,65315
2025-05-21,42661.0,42677.5,41792.1,41823.1,0,68418
2025-05-20,42799.0,42899.5,42499.6,42669.0,0,50107
2025-05-19,42381.0,42859.2,42254.7,42803.5,0,57068
2025-05-16,42332.0,42674.2,42240.2,42399.7,0,45721
2025-05-15,42019.1,42385.0,41771.8,42362.0,0,58249
2025-05-14,42195.0,42270.0,41960.3,42037.6,0,54865
2025-05-13,42415.0,42459.8,42124.1,42158.0,0,57074
2025-05-12,41739.0,42489.5,41603.2,42448.0,0,70810
2025-05-09,41380.1,41517.3,41132.7,41277.7,0,61631
2025-05-08,41065.1,41785.3,41027.9,41396.1,0,65163
2025-05-07,40940.6,41277.7,40817.7,41086.1,0,75048
2025-05-06,41223.1,41244.9,40661.2,40732.6,0,60776
2025-05-05,41243.0,41449.3,40996.8,41220.1,0,55615
2025-05-02,40717.1,41387.3,40650.7,41312.3,0,70271
2025-05-01,40764.1,41097.3,40611.2,40697.2,0,67425
2025-04-30,40579.2,40806.6,39741.8,40709.2,0,73995
2025-04-29,40193.2,40645.4,40162.4,40607.2,0,67310
2025-04-28,40078.0,40432.4,39876.8,40199.7,0,61913
2025-04-25,40086.2,40225.7,39709.8,40128.4,0,75236
2025-04-24,39553.2,40245.7,39254.5,40103.2,0,74168
2025-04-23,39679.2,40399.4,39499.5,39637.2,0,92331
2025-04-22,38137.8,39294.4,38089.6,39217.3,0,80949
2025-04-21,39037.5,39047.6,37834.3,38132.8,0,73948
2025-04-17,39686.2,40115.2,38951.9,39230.8,0,92679
2025-04-16,40178.2,40528.2,39403.8,39655.2,0,94297
2025-04-15,40479.2,40818.3,40334.2,40351.2,0,84220
2025-04-14,40590.0,40801.3,39851.0,40490.2,0,92856
2025-04-11,39620.2,40409.8,39018.1,40242.8,0,133005
2025-04-10,40690.2,40932.3,38432.5,39592.2,0,140686
2025-04-09,37540.4,40825.1,36697.4,40820.1,0,146828
2025-04-08,38313.3,39446.4,37104.6,37558.4,0,125866
2025-04-07,37153.8,39219.5,36494.5,38256.3,0,155199
2025-04-04,40468.2,40506.0,38077.5,38238.9,0,137371
2025-04-03,41470.6,41580.6,40419.2,40450.2,0,109495
2025-04-02,41994.1,42590.0,41632.8,41752.6,0,83566
2025-04-01,41962.1,42170.9,41527.7,41979.1,0,81902
2025-03-31,41351.0,42168.2,41173.7,41965.1,0,76624
2025-03-28,42336.0,42394.3,41450.7,41452.7,0,64560
2025-03-27,42340.0,42594.5,42187.9,42337.0,0,78889
2025-03-26,42643.8,42863.9,42349.0,42428.0,0,157638
2025-03-25,42601.8,42733.9,42477.9,42629.4,0,35326
