DateTime,Open,High,Low,Close,Volume,TickVolume
2025-07-13,44203.0,44617.1,44085.5,44159.5,0,86069
2025-07-06,44773.0,44882.4,44178.5,44341.5,0,236484
2025-06-29,43971.0,44904.1,43918.5,44584.1,0,184924
2025-06-22,41950.0,44005.8,41947.0,43970.5,0,234566
2025-06-15,42046.0,42747.2,41781.3,42266.6,0,257972
2025-06-08,42858.0,43151.2,42084.7,42209.6,0,292055
2025-06-01,42163.0,42956.2,41869.7,42809.2,0,267536
2025-05-25,41624.0,42750.3,41619.5,42226.6,0,268603
2025-05-18,42381.0,42899.5,41182.1,41571.7,0,314666
2025-05-11,41739.0,42674.2,41603.2,42399.7,0,286719
2025-05-04,41243.0,41785.3,40661.2,41277.7,0,318233
2025-04-27,40078.0,41387.3,39741.8,41312.3,0,340914
2025-04-20,39037.5,40399.4,37834.3,40128.4,0,396632
2025-04-13,40590.0,40818.3,38951.9,39230.8,0,364052
2025-04-06,37153.8,40932.3,36494.5,40242.8,0,701584
2025-03-30,41351.0,42590.0,38077.5,38238.9,0,488958
2025-03-23,42220.8,42863.9,41450.7,41452.7,0,372575
2025-03-16,41387.8,42290.9,41267.8,42006.8,0,242297
2025-03-09,42525.8,42705.8,40710.9,41452.0,0,317689
2025-03-02,43846.9,44083.9,42207.9,42817.4,0,330574
2025-02-23,43482.8,43936.9,43122.9,43814.8,0,255483
2025-02-16,44590.4,44686.9,43358.9,43421.8,0,148263
2025-02-09,44261.4,44808.9,44118.9,44542.8,0,177222
2025-02-02,44087.8,45087.8,43858.8,44326.8,0,226821
2025-01-26,44331.8,45101.8,43860.3,44558.8,0,224476
2025-01-19,43526.4,44607.8,43330.4,44422.5,0,153096
2025-01-12,41978.4,43680.9,41757.3,43502.8,0,216586
2025-01-05,42784.4,43165.9,41866.8,41993.8,0,203473
